ts,player_id,ownership
2026-06-11T18:03:56+00:00,1,1.1
2026-06-11T18:03:56+00:00,2,0.2
2026-06-11T18:03:56+00:00,3,0.1
2026-06-11T18:03:56+00:00,4,0.0
2026-06-11T18:03:56+00:00,5,0.0
2026-06-11T18:03:56+00:00,6,0.3
2026-06-11T18:03:56+00:00,7,1.7
2026-06-11T18:03:56+00:00,8,0.6
2026-06-11T18:03:56+00:00,9,0.1
2026-06-11T18:03:56+00:00,10,0.1
2026-06-11T18:03:56+00:00,11,0.6
2026-06-11T18:03:56+00:00,12,0.2
2026-06-11T18:03:56+00:00,13,0.1
2026-06-11T18:03:56+00:00,14,0.0
2026-06-11T18:03:56+00:00,15,0.0
2026-06-11T18:03:56+00:00,16,0.1
2026-06-11T18:03:56+00:00,17,0.0
2026-06-11T18:03:56+00:00,18,1.0
2026-06-11T18:03:56+00:00,19,2.0
2026-06-11T18:03:56+00:00,20,0.0
2026-06-11T18:03:56+00:00,21,2.5
2026-06-11T18:03:56+00:00,22,0.0
2026-06-11T18:03:56+00:00,23,0.0
2026-06-11T18:03:56+00:00,24,0.0
2026-06-11T18:03:56+00:00,25,0.0
2026-06-11T18:03:56+00:00,26,0.1
2026-06-11T18:03:56+00:00,27,0.0
2026-06-11T18:03:56+00:00,28,4.9
2026-06-11T18:03:56+00:00,29,0.3
2026-06-11T18:03:56+00:00,30,3.4
2026-06-11T18:03:56+00:00,31,2.3
2026-06-11T18:03:56+00:00,32,0.1
2026-06-11T18:03:56+00:00,33,0.0
2026-06-11T18:03:56+00:00,34,1.3
2026-06-11T18:03:56+00:00,35,0.1
2026-06-11T18:03:56+00:00,36,0.0
2026-06-11T18:03:56+00:00,38,17.9
2026-06-11T18:03:56+00:00,39,16.0
2026-06-11T18:03:56+00:00,40,0.0
2026-06-11T18:03:56+00:00,41,0.8
2026-06-11T18:03:56+00:00,42,0.1
2026-06-11T18:03:56+00:00,43,0.1
2026-06-11T18:03:56+00:00,44,0.0
2026-06-11T18:03:56+00:00,45,21.8
2026-06-11T18:03:56+00:00,46,0.2
2026-06-11T18:03:56+00:00,47,0.1
2026-06-11T18:03:56+00:00,48,0.2
2026-06-11T18:03:56+00:00,49,0.0
2026-06-11T18:03:56+00:00,50,0.9
2026-06-11T18:03:56+00:00,51,1.3
2026-06-11T18:03:56+00:00,52,0.0
2026-06-11T18:03:56+00:00,53,0.3
2026-06-11T18:03:56+00:00,54,0.2
2026-06-11T18:03:56+00:00,55,0.3
2026-06-11T18:03:56+00:00,56,3.3
2026-06-11T18:03:56+00:00,57,3.2
2026-06-11T18:03:56+00:00,58,0.4
2026-06-11T18:03:56+00:00,59,0.0
2026-06-11T18:03:56+00:00,60,0.1
2026-06-11T18:03:56+00:00,61,0.1
2026-06-11T18:03:56+00:00,62,0.0
2026-06-11T18:03:56+00:00,63,0.0
2026-06-11T18:03:56+00:00,64,0.0
2026-06-11T18:03:56+00:00,65,0.0
2026-06-11T18:03:56+00:00,66,0.5
2026-06-11T18:03:56+00:00,67,0.3
