id,name,nation,position,price,club,full_name,status,ownership
343,Nikola Moro,Croatia,MID,5.6,CRO,Nikola Moro,playing,0.0
344,Kristijan Jakic,Croatia,MID,5.6,CRO,Kristijan Jakic,playing,0.0
345,Nikola Vlasic,Croatia,MID,6.1,CRO,Nikola Vlasic,playing,0.0
346,Luka Modric,Croatia,MID,6.2,CRO,Luka Modric,playing,2.6
347,Mario Pasalic,Croatia,MID,6.4,CRO,Mario Pasalic,playing,0.1
348,Martin Baturina,Croatia,MID,6.5,CRO,Martin Baturina,playing,0.2
350,Tahith Chong,Curaçao,MID,4.2,CUW,Tahith Chong,playing,0.5
351,Godfried Roemeratoe,Curaçao,MID,4.7,CUW,Godfried Roemeratoe,playing,0.0
352,Leandro Bacuna,Curaçao,DEF,4.0,CUW,Leandro Bacuna,playing,0.2
353,Riechedly Bazoer,Curaçao,DEF,3.8,CUW,Riechedly Bazoer,playing,0.0
354,Joshua Brenet,Curaçao,DEF,3.7,CUW,Joshua Brenet,playing,0.0
355,Shurandy Sambo,Curaçao,DEF,3.6,CUW,Shurandy Sambo,playing,0.0
356,Sherel Floranus,Curaçao,DEF,3.6,CUW,Sherel Floranus,playing,0.0
357,Roshon van Eijma,Curaçao,DEF,3.5,CUW,Roshon van Eijma,playing,0.1
358,Ar'Jany Martha,Curaçao,DEF,3.5,CUW,Ar'Jany Martha,playing,0.1
359,Juriën Gaari,Curaçao,DEF,3.5,CUW,Juriën Gaari,playing,0.0
360,Livano Comenencia,Curaçao,DEF,4.5,CUW,Livano Comenencia,playing,0.0
361,Tyrese Noslin,Curaçao,DEF,3.5,CUW,Tyrese Noslin,playing,0.0
362,Brandley Kuwas,Curaçao,FWD,4.4,CUW,Brandley Kuwas,playing,0.0
363,Sontje Hansen,Curaçao,FWD,4.4,CUW,Sontje Hansen,playing,0.0
364,Kenji Gorré,Curaçao,FWD,4.2,CUW,Kenji Gorré,playing,0.0
365,Jearl Margaritha,Curaçao,FWD,4.2,CUW,Jearl Margaritha,playing,0.0
366,Gervane Kastaneer,Curaçao,FWD,4.0,CUW,Gervane Kastaneer,playing,0.4
367,Jeremy Antonisse,Curaçao,FWD,4.0,CUW,Jeremy Antonisse,playing,0.1
368,Eloy Room,Curaçao,GK,3.9,CUW,Eloy Room,playing,0.1
369,Trevor Doornbusch,Curaçao,GK,3.6,CUW,Trevor Doornbusch,playing,0.0
370,Tyrick Bodak,Curaçao,GK,3.5,CUW,Tyrick Bodak,playing,0.2
371,Kevin Felida,Curaçao,MID,4.5,CUW,Kevin Felida,playing,0.0
372,Juninho Bacuna,Curaçao,MID,5.1,CUW,Juninho Bacuna,playing,0.0
373,Denis Visinsky,Czechia,MID,4.9,CZE,Denis Visinsky,playing,0.0
374,Ladislav Krejcí,Czechia,DEF,4.4,CZE,Ladislav Krejcí,playing,0.5
375,Tomás Holes,Czechia,DEF,3.9,CZE,Tomás Holes,playing,0.0
376,David Jurásek,Czechia,DEF,3.9,CZE,David Jurásek,playing,0.0
378,Robin Hranác,Czechia,DEF,3.9,CZE,Robin Hranác,playing,0.0
379,Jaroslav Zeleny,Czechia,DEF,3.9,CZE,Jaroslav Zeleny,playing,0.0
380,Vladimír Coufal,Czechia,DEF,3.6,CZE,Vladimír Coufal,playing,3.0
381,Stepán Chaloupek,Czechia,DEF,3.5,CZE,Stepán Chaloupek,playing,0.2
382,Patrik Schick,Czechia,FWD,7.3,CZE,Patrik Schick,playing,0.8
383,Tomás Chory,Czechia,FWD,5.3,CZE,Tomás Chory,playing,0.0
384,Mojmír Chytil,Czechia,FWD,4.9,CZE,Mojmír Chytil,playing,0.1
386,Tomás Ladra,Czechia,FWD,4.4,CZE,Tomás Ladra,transferred,0.0
387,Matej Kovár,Czechia,GK,4.1,CZE,Matej Kovár,playing,0.4
388,Lukás Hornícek,Czechia,GK,3.8,CZE,Lukás Hornícek,playing,0.1
390,Lukás Cerv,Czechia,MID,5.3,CZE,Lukás Cerv,playing,0.0
391,Vladimír Darida,Czechia,MID,5.3,CZE,Vladimír Darida,playing,0.0
392,Pavel Bucha,Czechia,MID,5.5,CZE,Pavel Bucha,transferred,0.0
393,Tomás Soucek,Czechia,MID,5.6,CZE,Tomás Soucek,playing,0.5
395,Michal Sadílek,Czechia,MID,5.6,CZE,Michal Sadílek,playing,0.0
396,Lukás Provod,Czechia,MID,5.9,CZE,Lukás Provod,playing,0.0
397,Pavel Sulc,Czechia,MID,5.9,CZE,Pavel Sulc,playing,0.2
398,Denil Castillo,Ecuador,MID,4.9,ECU,Denil Castillo,playing,0.0
399,Jordy Alcívar,Ecuador,MID,4.9,ECU,Jordy Alcívar,playing,0.0
400,Pervis Estupiñán,Ecuador,DEF,4.8,ECU,Pervis Estupiñán,playing,2.7
403,Ángelo Preciado,Ecuador,DEF,4.3,ECU,Ángelo Preciado,playing,0.1
404,Joel Ordóñez,Ecuador,DEF,3.9,ECU,Joel Ordóñez,playing,2.0
405,Félix Torres,Ecuador,DEF,3.9,ECU,Félix Torres,playing,0.1
406,José Hurtado,Ecuador,DEF,3.9,ECU,José Hurtado,transferred,0.0
407,Jackson Porozo,Ecuador,DEF,3.8,ECU,Jackson Porozo,playing,0.1
411,Yaimar Medina,Ecuador,DEF,3.5,ECU,Yaimar Medina,playing,0.5
412,Enner Valencia,Ecuador,FWD,5.9,ECU,Enner Valencia,playing,0.6
413,Gonzalo Plata,Ecuador,FWD,5.6,ECU,Gonzalo Plata,playing,0.0
414,John Yeboah,Ecuador,MID,5.1,ECU,John Yeboah,playing,0.1
415,Kevin Rodríguez,Ecuador,FWD,4.9,ECU,Kevin Rodríguez,playing,0.2
416,Alan Minda,Ecuador,FWD,4.9,ECU,Alan Minda,playing,0.1
417,Jordy Caicedo,Ecuador,FWD,4.9,ECU,Jordy Caicedo,playing,0.1
419,John Mercado,Ecuador,FWD,4.4,ECU,John Mercado,transferred,0.0
420,Anthony Valencia,Ecuador,MID,4.2,ECU,Anthony Valencia,playing,0.6
421,Jeremy Arévalo,Ecuador,FWD,4.0,ECU,Jeremy Arévalo,playing,0.3
423,Hernán Galíndez,Ecuador,GK,4.2,ECU,Hernán Galíndez,playing,4.9
424,Moisés Ramírez,Ecuador,GK,3.9,ECU,Moisés Ramírez,playing,0.2
425,Gonzalo Valle,Ecuador,GK,3.6,ECU,Gonzalo Valle,playing,0.1
427,Kendry Páez,Ecuador,MID,5.2,ECU,Kendry Páez,playing,0.1
428,Alan Franco,Ecuador,MID,5.6,ECU,Alan Franco,playing,0.0
429,Pedro Vite,Ecuador,MID,5.2,ECU,Pedro Vite,playing,0.0
430,Moisés Caicedo,Ecuador,MID,6.8,ECU,Moisés Caicedo,playing,1.5
432,Marwan Attia,Egypt,MID,4.3,EGY,Marwan Attia Fahim Ghallab,playing,0.1
433,Zizo,Egypt,MID,4.3,EGY,Ahmed Mostafa Mohamed Sayed,playing,0.3
434,Hamdi Fathy,Egypt,MID,4.4,EGY,Hamdi Fathy Abdelhalim Abdel Fattah,playing,0.1
435,Emam Ashour,Egypt,MID,4.6,EGY,Emam Ashour Metwally Abdel Ghany,playing,0.4
436,Mahmoud Saber,Egypt,MID,4.9,EGY,Mahmoud Saber Abdelmohsen Hassan,playing,0.0
437,Mohamed Abdelmonem,Egypt,DEF,4.0,EGY,Mohamed Abdelmonem El Sayed Mohamed Ahmed,playing,0.4
438,Ahmed Fatouh,Egypt,DEF,3.9,EGY,Ahmed Mohamed Abou El Fotouh Mohamed,playing,0.2
439,Mohamed Hany,Egypt,DEF,3.6,EGY,Mohamed Hany Gamal El Demerdash,playing,0.4
440,Ramy Rabia,Egypt,DEF,3.6,EGY,Ramy Hisham Abdel Aziz Mostafa Rabia,playing,0.1
441,Hossam Abdelmaguid,Egypt,DEF,3.6,EGY,Hossam Abdelmaguid Abdelsalam Abdelmaguid,playing,0.0
442,Tarek Alaa,Egypt,DEF,3.5,EGY,Tarek Alaa El Gebaly,playing,0.1
444,Yasser Ibrahim,Egypt,DEF,3.5,EGY,Yasser Ahmed Ibrahim El Hanafi,playing,0.4
445,Omar Marmoush,Egypt,FWD,7.8,EGY,Omar Khaled Mohamed Abdelsalam Marmoush,playing,1.8
447,Trezeguet,Egypt,FWD,5.6,EGY,Mahmoud Ahmed Ibrahim Hassan,playing,0.1
448,Haissem Hassan,Egypt,FWD,4.6,EGY,Haissem Hassan,playing,0.1
451,Mohamed El Shenawy,Egypt,GK,3.6,EGY,Mohamed El Sayed Mohamed El Shenawy Gomaa,playing,0.3
452,El Mahdy Soliman,Egypt,GK,3.6,EGY,El Mahdy Mohamed Soliman Ibrahim,playing,0.0
453,Mostafa Shobeir,Egypt,GK,3.5,EGY,Mostafa Ahmed Abdelaziz Mohamed Shobeir,playing,1.6
454,Mohamed Alaa,Egypt,GK,3.5,EGY,Mohamed Alaa,playing,0.1
455,Mohanad Lasheen,Egypt,MID,5.3,EGY,Mohanad Mostafa Ahmed Abdelmonem Lasheen,playing,0.0
456,Ibrahim Adel,Egypt,MID,5.9,EGY,Ibrahim Adel Ali Mohamed Hassan,playing,0.0
457,Nico O'Reilly,England,DEF,4.7,ENG,Nico O'Reilly,playing,12.0
459,Tino Livramento,England,DEF,4.6,ENG,Tino Livramento,playing,0.2
461,Marc Guéhi,England,DEF,5.1,ENG,Marc Guéhi,playing,7.4
462,Dan Burn,England,DEF,4.5,ENG,Dan Burn,playing,0.4
463,Ezri Konsa,England,DEF,4.8,ENG,Ezri Konsa,playing,1.0
466,John Stones,England,DEF,4.6,ENG,John Stones,playing,1.3
467,Djed Spence,England,DEF,4.5,ENG,Djed Spence,playing,0.4
468,Harry Kane,England,FWD,10.5,ENG,Harry Kane,playing,36.4
469,Bukayo Saka,England,MID,9.5,ENG,Bukayo Saka,playing,4.8
471,Marcus Rashford,England,MID,7.5,ENG,Marcus Rashford,playing,2.0
474,Anthony Gordon,England,MID,7.0,ENG,Anthony Gordon,playing,1.5
475,Morgan Rogers,England,MID,7.2,ENG,Morgan Rogers,playing,0.8
476,Noni Madueke,England,FWD,6.1,ENG,Noni Madueke,playing,0.3
477,Jordan Pickford,England,GK,4.8,ENG,Jordan Pickford,playing,14.8
478,Dean Henderson,England,GK,4.2,ENG,Dean Henderson,playing,0.3
479,James Trafford,England,GK,4.0,ENG,James Trafford,playing,0.5
482,Jordan Henderson,England,MID,5.1,ENG,Jordan Henderson,playing,0.2
485,Kobbie Mainoo,England,MID,6.1,ENG,Kobbie Mainoo,playing,0.5
486,Elliot Anderson,England,MID,6.5,ENG,Elliot Anderson,playing,0.9
488,Declan Rice,England,MID,7.0,ENG,Declan Rice,playing,7.2
491,Jude Bellingham,England,MID,8.3,ENG,Jude Bellingham,playing,9.0
492,Theo Hernández,France,DEF,5.0,FRA,Theo Hernández,playing,3.4
493,Maxence Lacroix,France,DEF,4.5,FRA,Maxence Lacroix,playing,0.4
494,Dayot Upamecano,France,DEF,5.3,FRA,Dayot Upamecano,playing,4.6
495,Ibrahima Konaté,France,DEF,4.9,FRA,Ibrahima Konaté,playing,2.0
496,Lucas Hernández,France,DEF,5.2,FRA,Lucas Hernández,playing,2.5
498,Lucas Digne,France,DEF,5.0,FRA,Lucas Digne,playing,0.9
499,Malo Gusto,France,DEF,5.1,FRA,Malo Gusto,playing,0.5
500,Kylian Mbappé,France,FWD,10.5,FRA,Kylian Mbappé,playing,49.4
501,Ousmane Dembélé,France,MID,10.0,FRA,Ousmane Dembélé,playing,16.6
502,Marcus Thuram,France,FWD,7.5,FRA,Marcus Thuram,playing,0.6
505,Désiré Doué,France,MID,7.5,FRA,Désiré Doué,playing,3.4
506,Mike Maignan,France,GK,5.0,FRA,Mike Maignan,playing,9.1
508,Brice Samba,France,GK,4.5,FRA,Brice Samba,playing,0.2
509,N'Golo Kanté,France,MID,5.1,FRA,N'Golo Kanté,playing,1.1
510,Adrien Rabiot,France,MID,6.4,FRA,Adrien Rabiot,playing,0.3
511,Warren Zaïre-Emery,France,MID,6.1,FRA,Warren Zaïre-Emery,playing,0.3
512,Manu Koné,France,MID,6.1,FRA,Manu Koné,playing,0.1
514,Maghnes Akliouche,France,MID,6.4,FRA,Maghnes Akliouche,playing,0.0
515,Aurélien Tchouaméni,France,MID,6.5,FRA,Aurélien Tchouaméni,playing,0.9
516,Rayan Cherki,France,MID,8.0,FRA,Rayan Cherki,playing,7.2
517,Michael Olise,France,MID,9.5,FRA,Michael Olise,playing,34.3
518,Lennart Karl,Germany,MID,4.8,GER,Lennart Karl,transferred,0.3
519,Angelo Stiller,Germany,MID,5.8,GER,Angelo Stiller,playing,0.2
520,Antonio Rüdiger,Germany,DEF,5.5,GER,Antonio Rüdiger,playing,10.0
521,David Raum,Germany,DEF,4.9,GER,David Raum,playing,2.1
522,Malick Thiaw,Germany,DEF,4.7,GER,Malick Thiaw,playing,0.7
523,Jonathan Tah,Germany,DEF,5.3,GER,Jonathan Tah,playing,4.1
525,Nathaniel Brown,Germany,DEF,4.7,GER,Nathaniel Brown,playing,0.7
526,Nico Schlotterbeck,Germany,DEF,5.3,GER,Nico Schlotterbeck,playing,4.0
527,Waldemar Anton,Germany,DEF,3.9,GER,Waldemar Anton,playing,0.3
528,Kai Havertz,Germany,FWD,7.8,GER,Kai Havertz,playing,15.4
529,Leroy Sané,Germany,MID,7.4,GER,Leroy Sané,playing,2.2
531,Deniz Undav,Germany,FWD,6.6,GER,Deniz Undav,playing,0.8
532,Nick Woltemade,Germany,FWD,7.2,GER,Nick Woltemade,playing,1.2
533,Alexander Nübel,Germany,GK,4.7,GER,Alexander Nübel,playing,0.4
534,Oliver Baumann,Germany,GK,4.3,GER,Oliver Baumann,playing,0.3
538,Pascal Groß,Germany,MID,5.6,GER,Pascal Groß,playing,0.2
540,Leon Goretzka,Germany,MID,6.1,GER,Leon Goretzka,playing,0.4
542,Joshua Kimmich,Germany,DEF,5.5,GER,Joshua Kimmich,playing,34.4
543,Florian Wirtz,Germany,MID,7.5,GER,Florian Wirtz,playing,23.6
565,Benjamin Asare,Ghana,GK,3.8,GHA,Benjamin Asare,playing,0.1
569,Woodensky Pierre,Haiti,MID,4.2,HAI,Woodensky Pierre,playing,0.0
570,Leverton Pierre,Haiti,MID,4.2,HAI,Leverton Pierre,transferred,0.0
571,Jean-Ricner Bellegarde,Haiti,MID,4.7,HAI,Jean-Ricner Bellegarde,playing,0.1
572,Carl Sainté,Haiti,MID,4.7,HAI,Carl Sainté,playing,0.0
573,Danley Jean Jacques,Haiti,MID,4.7,HAI,Danley Jean Jacques,playing,0.0
574,Jean-Kévin Duverne,Haiti,DEF,3.8,HAI,Jean-Kévin Duverne,playing,0.0
575,Carlens Arcus,Haiti,DEF,3.8,HAI,Carlens Arcus,playing,0.0
576,Hannes Delcroix,Haiti,DEF,3.7,HAI,Hannes Delcroix,playing,0.0
577,Ricardo Adé,Haiti,DEF,3.5,HAI,Ricardo Adé,playing,0.1
578,Martin Expérience,Haiti,DEF,3.5,HAI,Martin Expérience,playing,0.1
580,Wilguens Paugain,Haiti,DEF,3.5,HAI,Wilguens Paugain,playing,0.0
581,Duke Lacroix,Haiti,DEF,3.5,HAI,Duke Lacroix,playing,0.3
582,Wilson Isidor,Haiti,FWD,5.0,HAI,Wilson Isidor,playing,1.1
583,Duckens Nazon,Haiti,FWD,6.0,HAI,Duckens Nazon,playing,0.1
584,Frantzdy Pierrot,Haiti,FWD,4.7,HAI,Frantzdy Pierrot,playing,0.0
585,Derrick Etienne,Haiti,FWD,4.4,HAI,Derrick Etienne,playing,0.0
586,Louicius Deedson,Haiti,FWD,4.2,HAI,Louicius Deedson,playing,0.0
588,Yassin Fortuné,Haiti,FWD,4.2,HAI,Yassin Fortuné,playing,0.0
589,Josué Casimir,Haiti,FWD,4.2,HAI,Josué Casimir,playing,0.0
590,Ruben Providence,Haiti,FWD,4.0,HAI,Ruben Providence,playing,0.1
591,Johny Placide,Haiti,GK,3.9,HAI,Johny Placide,playing,0.1
592,Alexandre Pierre,Haiti,GK,3.6,HAI,Alexandre Pierre,playing,0.0
593,Josué Duverger,Haiti,GK,3.5,HAI,Josué Duverger,playing,0.1
594,Amir Mohammad Razzaghinia,IR Iran,MID,4.2,IRN,Amir Mohammad Razzaghinia,playing,0.1
595,Hadi Habibinejad,IR Iran,MID,4.7,IRN,Hadi Habibinejad,transferred,0.0
596,Mohammad Ghorbani,IR Iran,MID,5.1,IRN,Mohammad Ghorbani,playing,0.0
597,Ramin Rezaeian,IR Iran,DEF,4.0,IRN,Ramin Rezaeian,playing,0.3
598,Hossein Kanani,IR Iran,DEF,3.9,IRN,Hossein Kanani,playing,0.0
599,Milad Mohammadi,IR Iran,DEF,3.8,IRN,Milad Mohammadi,playing,0.0
600,Shoja Khalilzadeh,IR Iran,DEF,3.8,IRN,Shoja Khalilzadeh,playing,0.0
601,Ehsan Hajisafi,IR Iran,DEF,3.7,IRN,Ehsan Hajisafi,playing,0.0
603,Saleh Hardani,IR Iran,DEF,3.7,IRN,Saleh Hardani,playing,0.0
606,Ali Nemati,IR Iran,DEF,3.5,IRN,Ali Nemati,playing,0.1
608,Aria Yousefi,IR Iran,DEF,3.5,IRN,Aria Yousefi,playing,0.1
609,Danial Eiri,IR Iran,DEF,3.5,IRN,Danial Eiri,playing,0.0
610,Mehdi Taremi,IR Iran,FWD,6.1,IRN,Mehdi Taremi,playing,0.6
611,Alireza Jahanbakhsh,IR Iran,FWD,5.3,IRN,Alireza Jahanbakhsh,playing,0.0
612,Saman Ghoddos,IR Iran,FWD,4.9,IRN,Saman Ghoddos,playing,0.1
614,Ali Alipour,IR Iran,FWD,4.6,IRN,Ali Alipour,playing,0.0
615,Dennis Dargahi,IR Iran,FWD,4.6,IRN,Dennis Dargahi,playing,0.0
616,Amirhossein Hosseinzadeh,IR Iran,FWD,4.5,IRN,Amirhossein Hosseinzadeh,playing,0.0
618,Amirhossein Mahmoudi,IR Iran,FWD,4.0,IRN,Amirhossein Mahmoudi,transferred,0.0
620,Alireza Beiranvand,IR Iran,GK,4.2,IRN,Alireza Beiranvand,playing,0.2
621,Payam Niazmand,IR Iran,GK,3.9,IRN,Payam Niazmand,playing,0.0
622,Hossein Hosseini,IR Iran,GK,3.8,IRN,Hossein Hosseini,playing,0.0
623,Mohammad Khalifeh,IR Iran,GK,3.5,IRN,Mohammad Khalifeh,transferred,0.0
624,Omid Noorafkan,IR Iran,MID,5.3,IRN,Omid Noorafkan,transferred,0.0
625,Mehdi Torabi,IR Iran,MID,5.6,IRN,Mehdi Torabi,playing,0.0
626,Saeid Ezatolahi,IR Iran,MID,5.6,IRN,Saeid Ezatolahi,playing,0.0
627,Mohammad Mohebi,IR Iran,MID,5.9,IRN,Mohammad Mohebi,playing,0.0
629,Mehdi Ghayedi,IR Iran,MID,5.9,IRN,Mehdi Ghayedi,playing,0.0
630,Zaid Ismael,Iraq,MID,4.4,IRQ,Zaid Ismael Khaleel Al Dulaimi,playing,0.0
631,Marko Farji,Iraq,MID,4.4,IRQ,Marko Hussein Farji,playing,0.0
632,Hasan Abdulkareem,Iraq,MID,4.7,IRQ,Hasan Abdulkareem Jabbar Sayyid,transferred,0.0
633,Peter Gwargis,Iraq,MID,5.1,IRQ,Peter Gwargis,transferred,0.0
634,Kevin Yakob,Iraq,MID,5.1,IRQ,Kevin Yakob,playing,0.0
635,Amir Al Ammari,Iraq,MID,5.3,IRQ,Amir Fouad Abboud Al Ammari,playing,0.0
636,Aimar Sher,Iraq,MID,5.3,IRQ,Aimar Hazar Anwar Sher,playing,0.0
637,Merchas Doski,Iraq,DEF,3.8,IRQ,Merchas Ghazi Salih Doski,playing,0.1
638,Frans Putros,Iraq,DEF,3.7,IRQ,Frans Dhia Jirjis Haddad,playing,0.0
639,Rebin Sulaka,Iraq,DEF,3.7,IRQ,Rebin Ghareeb Sulaka Adhamat,playing,0.0
640,Maytham Jabbar,Iraq,DEF,3.6,IRQ,Maytham Jabbar Mutlag Al Farttoosi,transferred,0.0
641,Hussein Ali,Iraq,DEF,3.6,IRQ,Hussein Haydar Ali,playing,0.0
642,Zaid Tahseen,Iraq,DEF,3.6,IRQ,Zaid Tahseen Abd Zaid Hantoosh,playing,0.0
643,Munaf Younus,Iraq,DEF,3.5,IRQ,Munaf Younus Hashim Al Tekreeti,playing,0.0
644,Akam Hashim,Iraq,DEF,3.5,IRQ,Akam Hashim Rahman,playing,0.1
645,Ahmed Maknzi,Iraq,DEF,3.5,IRQ,Ahmed Hasan Maknzi Al Deeshawee,playing,0.0
646,Aymen Hussein,Iraq,FWD,5.3,IRQ,Aymen Hussein Ghadhban Al Mafraje,playing,0.1
647,Mohanad Ali,Iraq,FWD,4.9,IRQ,Mohanad Ali Kadhim Al Shammari,playing,0.1
648,Ali Jasim,Iraq,FWD,4.9,IRQ,Ali Jasim Elaibi Al Tameemi,playing,0.1
649,Ali Al Hamadi,Iraq,FWD,4.7,IRQ,Ali Ibrahim Karim Ali Al Hamadi,playing,0.0
650,Youssef Amyn,Iraq,FWD,4.4,IRQ,Youssef Wali Faeq Amyn,playing,0.0
651,Ali Yousif,Iraq,FWD,4.2,IRQ,Ali Yousif Hashim Najatee,playing,0.0
652,Karar Nabeel,Iraq,MID,4.0,IRQ,Karar Nabeel Hussein Al Janat,transferred,0.2
653,Ahmed Basil,Iraq,GK,3.8,IRQ,Ahmed Basil Fadhil Al Fadhli,playing,0.0
654,Fahad Talib,Iraq,GK,3.7,IRQ,Fahad Talib Raheem,playing,0.0
655,Kumel Saadi,Iraq,GK,3.5,IRQ,Kumel Saadi Latif Al Rekabe,transferred,0.0
656,Zidane Iqbal,Iraq,MID,5.6,IRQ,Zidane Aamar Iqbal,playing,0.1
657,Ibrahim Bayesh,Iraq,MID,5.6,IRQ,Ibrahim Bayesh Kamil Al Kaabawi,playing,0.0
659,Kaishu Sano,Japan,MID,4.9,JPN,Kaishu Sano,playing,0.1
662,Yukinari Sugawara,Japan,DEF,4.4,JPN,Yukinari Sugawara,playing,0.2
663,Tsuyoshi Watanabe,Japan,DEF,4.3,JPN,Tsuyoshi Watanabe,playing,0.2
665,Hiroki Ito,Japan,DEF,3.9,JPN,Hiroki Ito,playing,0.4
666,Shogo Taniguchi,Japan,DEF,3.9,JPN,Shogo Taniguchi,playing,0.0
667,Ayumu Seko,Japan,DEF,3.8,JPN,Ayumu Seko,playing,0.1
668,Junnosuke Suzuki,Japan,DEF,3.5,JPN,Junnosuke Suzuki,playing,0.8
669,Junya Ito,Japan,MID,5.0,JPN,Junya Ito,playing,1.3
670,Daizen Maeda,Japan,MID,5.0,JPN,Daizen Maeda,playing,1.1
671,Keito Nakamura,Japan,MID,5.5,JPN,Keito Nakamura,playing,0.3
672,Ayase Ueda,Japan,FWD,7.0,JPN,Ayase Ueda,playing,0.7
673,Koki Ogawa,Japan,FWD,4.9,JPN,Koki Ogawa,playing,0.2
675,Keisuke Goto,Japan,FWD,4.2,JPN,Keisuke Goto,playing,0.1
676,Kento Shiogai,Japan,FWD,4.0,JPN,Kento Shiogai,playing,0.2
677,Zion Suzuki,Japan,GK,4.3,JPN,Zion Suzuki,playing,1.9
678,Keisuke Osako,Japan,GK,4.0,JPN,Keisuke Osako,playing,0.3
679,Tomoki Hayakawa,Japan,GK,3.8,JPN,Tomoki Hayakawa,playing,0.1
680,Yuito Suzuki,Japan,MID,5.0,JPN,Yuito Suzuki,playing,0.8
681,Ao Tanaka,Japan,MID,5.0,JPN,Ao Tanaka,playing,1.1
682,Daichi Kamada,Japan,MID,5.8,JPN,Daichi Kamada,playing,0.3
684,Ritsu Doan,Japan,DEF,5.1,JPN,Ritsu Doan,playing,1.0
685,Yousef Qashi,Jordan,MID,4.2,JOR,Yousef Hussein Abed Qashi,transferred,0.0
686,Ibrahim Sadeh,Jordan,MID,4.4,JOR,Ibrahim Mohammad Sami Sadeh,playing,0.0
687,Mohammad Al Daoud,Jordan,MID,4.7,JOR,Mohammad Ratib Mohammad Al Daoud,playing,0.0
688,Noor Al Rawabdeh,Jordan,MID,4.7,JOR,Noor Al Deen Mahmoud Ali Al Rawabdeh,playing,0.0
689,Nizar Al Rashdan,Jordan,MID,4.9,JOR,Nizar Mahmoud Ahmed Al Rashdan,playing,0.0
690,Yazan Al Arab,Jordan,DEF,3.7,JOR,Yazan Mousa Mahmoud Abu Al Arab,playing,0.1
691,Abdallah Nasib,Jordan,DEF,3.6,JOR,Abdallah Mousa Musallam Nasib,playing,0.0
692,Mohannad Abu Taha,Jordan,DEF,3.5,JOR,Mohannad Mahmoud Saleh Abu Taha,playing,0.1
693,Mohammad Abu Hasheesh,Jordan,DEF,3.5,JOR,Mohammad Ali Hasan Abu Hasheesh,playing,0.0
695,Husam Abu Al Dahab,Jordan,DEF,3.5,JOR,Husam Ali Mohammad Abu Al Dahab,playing,0.0
696,Mohammad Abu Ghoush,Jordan,DEF,3.5,JOR,Mohammad Ahmed Mohammad Taha,playing,0.0
697,Ahmad Assaf,Jordan,DEF,3.5,JOR,Ahmad Fawzi Abdalateef Assaf,transferred,0.0
698,Saleem Obaid,Jordan,DEF,3.5,JOR,Saleem Amer Saleem Obaid,playing,0.0
699,Mohammad Abu Al Nadi,Jordan,DEF,3.5,JOR,Mohammad Majed Jamil Abu Al Nadi,playing,0.0
700,Amer Jamous,Jordan,DEF,3.5,JOR,Amer Rasem Adel Jamous,playing,0.0
701,Mousa Al Tamari,Jordan,FWD,5.6,JOR,Mousa Mohammad Mousa Sulaiman Al Tamari,playing,0.1
702,Mohammad Abu Zraiq,Jordan,FWD,4.2,JOR,Mohammad Faisal Yousef Abu Zraiq,playing,0.0
703,Mahmoud Al Mardi,Jordan,FWD,4.2,JOR,Mahmoud Nayef Ahmad Al Mardi,playing,0.0
705,Ibrahim Sabra,Jordan,FWD,4.0,JOR,Ibrahim Mohammad Abdallah Sabra,transferred,0.0
707,Ali Azaizeh,Jordan,FWD,4.0,JOR,Ali Ahmad Ali Al Azaizeh,playing,0.1
708,Odeh Fakhoury,Jordan,FWD,4.0,JOR,Odeh Burhan Shehadeh Fakhoury,playing,0.0
709,Yazeed  Abulaila,Jordan,GK,3.9,JOR,Yazeed Mo'ien Hasan Abulaila,playing,0.0
710,Abdallah Al Fakhouri,Jordan,GK,3.6,JOR,Abdallah Ra'ed Mahmoud Al Fakhouri,playing,0.1
713,Park Jin-Seob,Korea Republic,MID,4.9,KOR,Jin-Seob Park,playing,0.0
714,Kim Jin-Gyu,Korea Republic,MID,4.9,KOR,Jin-Gyu Kim,playing,0.0
715,Kim Min-Jae,Korea Republic,DEF,5.0,KOR,Min-Jae Kim,playing,2.1
716,Seol Young-Woo,Korea Republic,DEF,4.2,KOR,Young-Woo Seol,playing,0.1
717,Cho Yu-Min,Korea Republic,DEF,3.9,KOR,Yu-Min Cho,transferred,0.0
718,Kim Moon-Hwan,Korea Republic,DEF,3.9,KOR,Moon-Hwan Kim,playing,0.0
719,Lee Han-Beom,Korea Republic,DEF,3.7,KOR,Han-Beom Lee,playing,0.0
720,Lee Tae-Seok,Korea Republic,DEF,3.7,KOR,Tae-Seok Lee,playing,0.0
722,Kim Tae-Hyeon,Korea Republic,DEF,3.6,KOR,Tae-Hyeon Kim,playing,0.1
723,Son Heung-Min,Korea Republic,FWD,7.4,KOR,Heung-Min Son,playing,2.2
724,Hwang Hee-Chan,Korea Republic,FWD,6.1,KOR,Hee-Chan Hwang,playing,0.2
725,Cho Gue-Sung,Korea Republic,FWD,5.3,KOR,Gue-Sung Cho,playing,0.0
726,Oh Hyeon-Gyu,Korea Republic,FWD,4.9,KOR,Hyeon-Gyu Oh,playing,0.1
727,Yang Hyun-Jun,Korea Republic,FWD,4.7,KOR,Hyun-Jun Yang,playing,0.0
