id,name,nation,position,price,club,full_name,status,ownership
73,Ante Suto,Australia,FWD,4.0,AUS,Ante Suto,transferred,0.0
74,Mathew Ryan,Australia,GK,4.1,AUS,Mathew Ryan,playing,0.6
75,Paul Izzo,Australia,GK,3.6,AUS,Paul Izzo,playing,0.1
76,Patrick Beach,Australia,GK,3.5,AUS,Patrick Beach,playing,1.0
77,Paul Okon,Australia,MID,4.7,AUS,Paul Okon,playing,0.0
78,Patrick Yazbek,Australia,MID,4.9,AUS,Patrick Yazbek,transferred,0.0
79,Alex Robertson,Australia,MID,5.1,AUS,Alex Robertson,transferred,0.0
80,Connor Metcalfe,Australia,MID,5.3,AUS,Connor Metcalfe,playing,0.0
81,Aiden O'Neill,Australia,MID,5.4,AUS,Aiden O'Neill,playing,0.1
82,Awer Mabil,Australia,MID,5.6,AUS,Awer Mabil,playing,0.0
83,Ajdin Hrustic,Australia,MID,5.7,AUS,Ajdin Hrustic,playing,0.0
84,Riley McGree,Australia,MID,5.9,AUS,Riley McGree,transferred,0.0
85,David Alaba,Austria,DEF,4.6,AUT,David Alaba,playing,2.2
86,Philipp Lienhart,Austria,DEF,4.3,AUT,Philipp Lienhart,playing,0.2
87,Alexander Prass,Austria,DEF,4.3,AUT,Alexander Prass,playing,0.0
88,Kevin Danso,Austria,DEF,4.3,AUT,Kevin Danso,playing,0.5
90,Stefan Posch,Austria,DEF,4.3,AUT,Stefan Posch,playing,0.3
91,Phillipp Mwene,Austria,DEF,3.9,AUT,Phillipp Mwene,playing,0.0
92,Marco Friedl,Austria,DEF,4.3,AUT,Marco Friedl,playing,0.0
93,David Affengruber,Austria,DEF,3.9,AUT,David Affengruber,playing,0.0
94,Michael Svoboda,Austria,DEF,3.8,AUT,Michael Svoboda,playing,0.0
95,Marko Arnautovic,Austria,FWD,6.0,AUT,Marko Arnautovic,playing,0.5
96,Michael Gregoritsch,Austria,FWD,6.0,AUT,Michael Gregoritsch,playing,0.1
97,Sasa Kalajdzic,Austria,FWD,6.0,AUT,Sasa Kalajdzic,playing,0.1
98,Alexander Schlager,Austria,GK,4.6,AUT,Alexander Schlager,playing,0.5
99,Patrick Pentz,Austria,GK,4.6,AUT,Patrick Pentz,playing,0.1
101,Florian Wiegele,Austria,GK,3.5,AUT,Florian Wiegele,playing,0.4
102,Carney Chukwuemeka,Austria,MID,5.0,AUT,Carney Chukwuemeka,playing,0.8
103,Konrad Laimer,Austria,MID,5.8,AUT,Konrad Laimer,playing,0.3
104,Alessandro Schöpf,Austria,MID,5.3,AUT,Alessandro Schöpf,playing,0.0
105,Florian Grillitsch,Austria,MID,5.5,AUT,Florian Grillitsch,playing,0.0
106,Nicolas Seiwald,Austria,MID,5.6,AUT,Nicolas Seiwald,playing,0.0
107,Marcel Sabitzer,Austria,MID,6.8,AUT,Marcel Sabitzer,playing,4.0
108,Romano Schmid,Austria,MID,6.0,AUT,Romano Schmid,playing,0.1
109,Patrick Wimmer,Austria,MID,6.0,AUT,Patrick Wimmer,playing,0.1
110,Paul Wanner,Austria,MID,5.6,AUT,Paul Wanner,playing,0.0
111,Xaver Schlager,Austria,MID,5.5,AUT,Xaver Schlager,playing,0.0
112,Christoph Baumgartner,Austria,MID,6.7,AUT,Christoph Baumgartner,transferred,0.0
114,Maxim De Cuyper,Belgium,DEF,4.7,BEL,Maxim De Cuyper,playing,3.2
115,Timothy Castagne,Belgium,DEF,4.7,BEL,Timothy Castagne,playing,0.5
116,Arthur Theate,Belgium,DEF,4.5,BEL,Arthur Theate,playing,0.3
117,Thomas Meunier,Belgium,DEF,4.8,BEL,Thomas Meunier,playing,0.9
118,Zeno Debast,Belgium,DEF,4.3,BEL,Zeno Debast,playing,0.2
119,Axel Witsel,Belgium,MID,5.0,BEL,Axel Witsel,playing,1.1
120,Koni De Winter,Belgium,DEF,4.2,BEL,Koni De Winter,playing,0.1
121,Brandon Mechele,Belgium,DEF,3.9,BEL,Brandon Mechele,playing,0.1
122,Joaquin Seys,Belgium,DEF,3.9,BEL,Joaquin Seys,playing,0.1
123,Nathan Ngoy,Belgium,DEF,3.7,BEL,Nathan Ngoy,playing,0.4
124,Romelu Lukaku,Belgium,FWD,7.4,BEL,Romelu Lukaku,playing,2.1
125,Jérémy Doku,Belgium,MID,7.5,BEL,Jérémy Doku,playing,13.2
127,Dodi Lukébakio,Belgium,FWD,5.9,BEL,Dodi Lukébakio,playing,0.1
128,Alexis Saelemaekers,Belgium,MID,5.7,BEL,Alexis Saelemaekers,playing,0.1
129,Charles De Ketelaere,Belgium,MID,5.6,BEL,Charles De Ketelaere,playing,1.1
132,Senne Lammens,Belgium,GK,4.6,BEL,Senne Lammens,playing,1.6
135,Nicolas Raskin,Belgium,MID,5.3,BEL,Nicolas Raskin,playing,0.1
136,Amadou Onana,Belgium,MID,5.9,BEL,Amadou Onana,playing,0.2
137,Youri Tielemans,Belgium,MID,6.1,BEL,Youri Tielemans,playing,1.2
138,Kevin De Bruyne,Belgium,MID,7.5,BEL,Kevin De Bruyne,playing,5.5
139,Sead Kolasinac,Bosnia and Herzegovina,DEF,4.3,BIH,Sead Kolasinac,playing,0.2
140,Amar Dedic,Bosnia and Herzegovina,DEF,4.3,BIH,Amar Dedic,playing,0.4
141,Tarik Muharemovic,Bosnia and Herzegovina,DEF,3.9,BIH,Tarik Muharemovic,playing,0.3
142,Nikola Katic,Bosnia and Herzegovina,DEF,3.8,BIH,Nikola Katic,playing,0.2
143,Stjepan Radeljic,Bosnia and Herzegovina,DEF,3.7,BIH,Stjepan Radeljic,playing,0.0
144,Nihad Mujakic,Bosnia and Herzegovina,DEF,3.6,BIH,Nihad Mujakic,playing,0.1
145,Nidal Celik,Bosnia and Herzegovina,DEF,3.5,BIH,Nidal Celik,playing,0.5
146,Ermedin Demirovic,Bosnia and Herzegovina,FWD,6.2,BIH,Ermedin Demirovic,playing,0.1
147,Edin Dzeko,Bosnia and Herzegovina,FWD,6.1,BIH,Edin Dzeko,playing,1.0
148,Jovo Lukic,Bosnia and Herzegovina,FWD,5.6,BIH,Jovo Lukic,playing,0.0
149,Haris Tabakovic,Bosnia and Herzegovina,FWD,5.1,BIH,Haris Tabakovic,playing,0.1
150,Esmir Bajraktarevic,Bosnia and Herzegovina,FWD,4.7,BIH,Esmir Bajraktarevic,playing,0.2
151,Samed Bazdar,Bosnia and Herzegovina,FWD,4.5,BIH,Samed Bazdar,playing,0.0
152,Kerim Alajbegovic,Bosnia and Herzegovina,FWD,4.2,BIH,Kerim Alajbegovic,playing,0.3
153,Nikola Vasilj,Bosnia and Herzegovina,GK,4.0,BIH,Nikola Vasilj,playing,0.7
154,Osman Hadzikic,Bosnia and Herzegovina,GK,3.6,BIH,Osman Hadzikic,transferred,0.0
155,Martin Zlomislic,Bosnia and Herzegovina,GK,3.5,BIH,Martin Zlomislic,playing,0.3
156,Amar Memic,Bosnia and Herzegovina,MID,4.7,BIH,Amar Memic,playing,0.1
157,Dzenis Burnic,Bosnia and Herzegovina,MID,4.9,BIH,Dzenis Burnic,playing,0.0
158,Ivan Sunjic,Bosnia and Herzegovina,MID,5.1,BIH,Ivan Sunjic,playing,0.0
159,Armin Gigovic,Bosnia and Herzegovina,MID,5.1,BIH,Armin Gigovic,playing,0.0
160,Ivan Basic,Bosnia and Herzegovina,MID,5.1,BIH,Ivan Basic,playing,0.0
161,Benjamin Tahirovic,Bosnia and Herzegovina,MID,5.3,BIH,Benjamin Tahirovic,playing,0.1
162,Amir Hadziahmetovic,Bosnia and Herzegovina,MID,5.5,BIH,Amir Hadziahmetovic,playing,0.1
164,Gabriel Magalhães,Brazil,DEF,5.5,BRA,Gabriel dos Santos Magalhães,playing,20.0
165,Marquinhos,Brazil,DEF,5.2,BRA,Marcos Aoás Corrêa,playing,7.4
166,Ibañez,Brazil,DEF,4.4,BRA,Roger Ibañez da Silva,playing,0.3
167,Danilo,Brazil,DEF,4.3,BRA,Danilo Luiz da Silva,playing,0.8
168,Douglas Santos,Brazil,DEF,4.3,BRA,Douglas dos Santos Justino de Melo,playing,0.4
169,Bremer,Brazil,DEF,4.3,BRA,Gleison Bremer Silva Nascimento,playing,0.5
